Ticker_Nome;Ticker;Nome;Market
SOFI - SoFi Technologies, Inc.  - Common Stock;SOFI;SoFi Technologies, Inc.  - Common Stock;Nasdaq
SOGP - Sound Group Inc. - American Depositary Shares;SOGP;Sound Group Inc. - American Depositary Shares;Nasdaq
SOHO - Sotherly Hotels Inc. - Common Stock;SOHO;Sotherly Hotels Inc. - Common Stock;Nasdaq
SOHOB - Sotherly Hotels Inc. - 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock;SOHOB;Sotherly Hotels Inc. - 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock;Nasdaq
SOHON - Sotherly Hotels Inc. - 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock;SOHON;Sotherly Hotels Inc. - 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock;Nasdaq
SOHOO - Sotherly Hotels Inc. - 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock;SOHOO;Sotherly Hotels Inc. - 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock;Nasdaq
SOHU - Sohu.com Limited  - American Depositary Shares;SOHU;Sohu.com Limited  - American Depositary Shares;Nasdaq
SOND - Sonder Holdings Inc. - Class A Common Stock;SOND;Sonder Holdings Inc. - Class A Common Stock;Nasdaq
SONDW - Sonder Holdings Inc. - Warrants;SONDW;Sonder Holdings Inc. - Warrants;Nasdaq
SONM - Sonim Technologies, Inc. - Common Stock;SONM;Sonim Technologies, Inc. - Common Stock;Nasdaq
SONN - Sonnet BioTherapeutics Holdings, Inc. - Common Stock;SONN;Sonnet BioTherapeutics Holdings, Inc. - Common Stock;Nasdaq
SONO - Sonos, Inc. - Common Stock;SONO;Sonos, Inc. - Common Stock;Nasdaq
SOPA - Society Pass Incorporated - Common Stock;SOPA;Society Pass Incorporated - Common Stock;Nasdaq
SOPH - SOPHiA GENETICS SA - Ordinary Shares;SOPH;SOPHiA GENETICS SA - Ordinary Shares;Nasdaq
SOTK - Sono-Tek Corporation - Common Stock;SOTK;Sono-Tek Corporation - Common Stock;Nasdaq
SOUN - SoundHound AI, Inc. - Class A Common Stock;SOUN;SoundHound AI, Inc. - Class A Common Stock;Nasdaq
SOUNW - SoundHound AI, Inc. - Warrant;SOUNW;SoundHound AI, Inc. - Warrant;Nasdaq
SOWG - Sow Good Inc. - Common Stock;SOWG;Sow Good Inc. - Common Stock;Nasdaq
SOXQ - Invesco PHLX Semiconductor ETF;SOXQ;Invesco PHLX Semiconductor ETF;Nasdaq
SOXX - iShares Semiconductor ETF;SOXX;iShares Semiconductor ETF;Nasdaq
SPAM - Themes Cybersecurity ETF;SPAM;Themes Cybersecurity ETF;Nasdaq
SPAQ - Horizon Kinetics SPAC Active ETF;SPAQ;Horizon Kinetics SPAC Active ETF;Nasdaq
SPBC - Simplify U.S. Equity PLUS GBTC ETF;SPBC;Simplify U.S. Equity PLUS GBTC ETF;Nasdaq
SPC - CrossingBridge Pre-Merger SPAC ETF;SPC;CrossingBridge Pre-Merger SPAC ETF;Nasdaq
SPCB - SuperCom, Ltd. - Ordinary Shares;SPCB;SuperCom, Ltd. - Ordinary Shares;Nasdaq
SPCX - AXS SPAC and New Issue ETF;SPCX;AXS SPAC and New Issue ETF;Nasdaq
SPEC - Spectaire Holdings, Inc. - Common Stock;SPEC;Spectaire Holdings, Inc. - Common Stock;Nasdaq
SPECW - Spectaire Holdings, Inc. - Warrants;SPECW;Spectaire Holdings, Inc. - Warrants;Nasdaq
SPFI - South Plains Financial, Inc. - Common Stock;SPFI;South Plains Financial, Inc. - Common Stock;Nasdaq
SPGC - Sacks Parente Golf, Inc. - Common Stock;SPGC;Sacks Parente Golf, Inc. - Common Stock;Nasdaq
SPI - SPI Energy Co., Ltd. - Ordinary Shares;SPI;SPI Energy Co., Ltd. - Ordinary Shares;Nasdaq
SPKL - Spark I Acquisition Corp. - Class A Ordinary Share;SPKL;Spark I Acquisition Corp. - Class A Ordinary Share;Nasdaq
SPKLU - Spark I Acquisition Corp. - Unit;SPKLU;Spark I Acquisition Corp. - Unit;Nasdaq
SPKLW - Spark I Acquisition Corp. - Warrant;SPKLW;Spark I Acquisition Corp. - Warrant;Nasdaq
SPNS - Sapiens International Corporation N.V. - Common Shares;SPNS;Sapiens International Corporation N.V. - Common Shares;Nasdaq
SPOK - Spok Holdings, Inc. - Common Stock;SPOK;Spok Holdings, Inc. - Common Stock;Nasdaq
SPPL - SIMPPLE LTD. - Ordinary Shares;SPPL;SIMPPLE LTD. - Ordinary Shares;Nasdaq
